,Arm Angle,Finger Distance
0,122.85088334028968,0.003121247694127079
1,113.6532739548595,0.0037276200991449007
2,112.1942773642553,0.004496205707538939
3,113.78857786365627,0.004896458032617953
4,115.66755396835121,0.005260475166440355
5,115.06848963604274,0.005201950655608133
6,112.17227727543549,0.004914499382322505
7,110.93872881093505,0.005378384992802045
8,108.11365045268082,0.005156951189860035
9,106.5928039963292,0.004929663944005495
10,102.23746290485593,0.005135354304538408
11,94.98000787579332,0.00499944441734461
12,87.11778571565532,0.004514732452031723
13,79.33804414369932,0.003980940867592398
14,52.57642190925302,0.0035300227250693304
15,21.253431738835268,0.0027302621765892894
16,0.10574522724092372,0.001602037687118047
17,33.972339715014954,0.0015391352542071773
18,66.1841379557369,0.003883785703541727
19,77.97284271659292,0.005034484877278469
20,92.93577594006406,0.004510940652690321
21,117.30759650354135,0.0027125827723071647
22,163.74113335673178,0.0028040218454996896
23,121.34331888286155,0.0038164764541376616
24,113.2231650780187,0.004217537262594297
25,159.82927459976713,0.002854232294233995
26,156.66302882647784,0.004435071313928824
27,168.31273728693432,0.005517907619728584
28,173.73280603514883,0.005742048654542675
29,169.6374965891746,0.00454985039350827
30,170.13236408775347,0.004568271628527097
31,167.6201784372831,0.004237432609086003
32,167.597900871802,0.0038139387323972746
33,161.13301323137344,0.004028681298585005
34,165.31651583070777,0.00339705767958693
35,171.6674555962173,0.0036797263398301045
